z,cq,R2_m,R2_se,Epi_m,Epi_se,SR_m,SR_se,SRvar_m,SRvar_se,beta_norm2_m,beta_norm2_se
0.1,1.5,-1.077370781295469,0.0,-0.013022829559149391,0.0,-0.011507278125555279,0.0,-0.011502284624174177,0.0,1.2266697457860531,0.0
0.1,2.0,-0.8022648894107156,0.0,-0.014037151210070768,0.0,-0.014179454899462568,0.0,-0.01417378833958609,0.0,0.895413930475998,0.0
0.1,3.0,-0.4888818184924322,0.0,-0.017943843994274566,0.0,-0.023762672931195557,0.0,-0.02375749707913808,0.0,0.5386163904826089,0.0
0.1,5.0,-0.2244672345800336,0.0,0.014283481159061744,0.0,0.025641909906573283,0.0,0.025637515560613264,0.0,0.28774550489348927,0.0
0.1,7.0,-0.12735146546803522,0.0,0.025143015930323667,0.0,0.05221306430423386,0.0,0.05225823316194059,0.0,0.196802355520795,0.0
0.1,10.0,-0.08227891265837695,0.0,0.021108778160474493,0.0,0.05270992884553502,0.0,0.052756906486819376,0.0,0.13130512523702348,0.0
0.2,0.5,-0.47684835424802974,0.0,-0.0260766647456005,0.0,-0.03267240043628459,0.0,-0.0326735040564924,0.0,0.5452962566011955,0.0
0.2,0.75,-0.6884374209755622,0.0,-0.03866638454664688,0.0,-0.04148976104324137,0.0,-0.041504749504139314,0.0,0.7408662681049272,0.0
0.2,0.9,-0.7993665425506802,0.0,-0.06262706356165613,0.0,-0.06516992618805223,0.0,-0.06527609825718075,0.0,0.8395832279810658,0.0
0.2,0.95,-0.8215795027073189,0.0,-0.062698279445468,0.0,-0.06477869410059527,0.0,-0.06488257246021861,0.0,0.8588805041681877,0.0
0.2,0.98,-0.8028256037146098,0.0,-0.0483043232832502,0.0,-0.05031073840029611,0.0,-0.05034933849021817,0.0,0.8683898013820686,0.0
0.2,1.02,-0.8134781232583066,0.0,-0.04388215258211351,0.0,-0.04561097493873277,0.0,-0.045635657783211166,0.0,0.8814747622157528,0.0
0.2,1.05,-0.8094163353427861,0.0,-0.04129293188426715,0.0,-0.04275993408008546,0.0,-0.04277767426362078,0.0,0.8823901504618137,0.0
0.2,1.1,-0.7927814293460669,0.0,-0.03675957504219772,0.0,-0.038737816020437424,0.0,-0.038747525807595204,0.0,0.8822708738105651,0.0
0.2,1.25,-0.771332850398714,0.0,-0.01227350775820645,0.0,-0.012572193270088327,0.0,-0.01256689880267726,0.0,0.8827029156353383,0.0
0.2,1.5,-0.7416939210416795,0.0,-0.01035763858220978,0.0,-0.0110060176869998,0.0,-0.011001179621679152,0.0,0.843729394817575,0.0
0.2,2.0,-0.637391575825677,0.0,-0.010816258776032935,0.0,-0.012245583445624384,0.0,-0.012240376905506011,0.0,0.7094363796863461,0.0
0.2,3.0,-0.4334591256381384,0.0,-0.0161031040771578,0.0,-0.02266836901241323,0.0,-0.02266285545141179,0.0,0.4766794805321812,0.0
0.2,5.0,-0.21202990286132928,0.0,0.0137035695959726,0.0,0.025287310046923514,0.0,0.025282748024016935,0.0,0.27193842659456624,0.0
0.2,7.0,-0.1221720960698216,0.0,0.024659615255856665,0.0,0.05212485981867487,0.0,0.05216971165528437,0.0,0.18982366171356518,0.0
0.2,10.0,-0.08004947718428923,0.0,0.020835765187780356,0.0,0.05263454681952439,0.0,0.05268124752134126,0.0,0.1283313491329757,0.0
0.25,0.5,-0.42520778033234263,0.0,-0.026332318979620843,0.0,-0.03518333083592614,0.0,-0.03518752024535061,0.0,0.4794781358820788,0.0
0.25,0.75,-0.5946180096894575,0.0,-0.03669665432962621,0.0,-0.042545264163418625,0.0,-0.04256252486065785,0.0,0.6346958234330999,0.0
0.25,0.9,-0.687951682125068,0.0,-0.05761938608111829,0.0,-0.06488502865996447,0.0,-0.06498952745517007,0.0,0.7148584751357783,0.0
0.25,0.95,-0.707198200383836,0.0,-0.05744141773036056,0.0,-0.06417859475637823,0.0,-0.06427901318537088,0.0,0.7316117403509872,0.0
