z2,cq,R2_m,R2_se,Epi_m,Epi_se,SR_m,SR_se,SRvar_m,SRvar_se,beta_norm2_m,beta_norm2_se
0.0,0.5,-1.0137125774004727,0.0,-0.012377339057273694,0.0,-0.010268605925224666,0.0,-0.01026401149289742,0.0,1.2521938319335602,0.0
0.0,0.75,-3.525328257890709,0.0,-0.0360394450774494,0.0,-0.016513247109010334,0.0,-0.016507239231216095,0.0,4.077758898870442,0.0
0.0,0.9,-8.315376965610767,0.0,-0.07622323960644056,0.0,-0.023578496054882127,0.0,-0.023573257491991628,0.0,9.887142653955946,0.0
0.0,0.95,-16.743113292701008,0.0,0.05418712382306744,0.0,0.011388780859202006,0.0,0.011383823333989275,0.0,20.467791000944995,0.0
0.0,0.98,-56.3208148978869,0.0,-0.15737120529188164,0.0,-0.01760370652949302,0.0,-0.017597629354874255,0.0,65.35301381272443,0.0
0.0,1.02,-36.67993081998425,0.0,0.03883280553766904,0.0,0.005630303027514264,0.0,0.005627576370531313,0.0,43.380268376977426,0.0
0.0,1.05,-15.486622011421108,0.0,-0.03081360031116161,0.0,-0.006713991912949725,0.0,-0.006710785332370687,0.0,19.615430154631433,0.0
0.0,1.1,-8.87405578110033,0.0,-0.07307574569333676,0.0,-0.021485070569537842,0.0,-0.02147928342681045,0.0,11.220894498017692,0.0
0.0,1.25,-4.117783307356863,0.0,-0.00634391866233149,0.0,-0.002734745724422176,0.0,-0.002733388230843493,0.0,4.979089098719073,0.0
0.0,1.5,-2.3146609639957045,0.0,-0.022880380511337946,0.0,-0.013683747795659288,0.0,-0.013678184855933894,0.0,2.6530625804164063,0.0
0.0,2.0,-1.0911028610337588,0.0,-0.01908631787235985,0.0,-0.016499799449121496,0.0,-0.016493792801684653,0.0,1.2264387727312331,0.0
0.0,3.0,-0.5603307109554154,0.0,-0.020273398583783433,0.0,-0.025037672451408578,0.0,-0.025032998120028467,0.0,0.6187473182643153,0.0
0.0,5.0,-0.2382697139021972,0.0,0.014918090231485779,0.0,0.026018502952411187,0.0,0.026014297289533743,0.0,0.3053087788650173,0.0
0.0,7.0,-0.13288459615831605,0.0,0.025645618912643695,0.0,0.05229699299277339,0.0,0.052342464642299226,0.0,0.2042334790511867,0.0
0.0,10.0,-0.08460124769095878,0.0,0.02138921578898537,0.0,0.05278538569404866,0.0,0.05283264145541558,0.0,0.13439479412010136,0.0
0.001,0.5,-1.0136062516941236,0.0,-0.012381195543946835,0.0,-0.010272371195460163,0.0,-0.010267775475565118,0.0,1.2520512363865963,0.0
0.001,0.75,-3.5240029932748484,0.0,-0.036034432418877146,0.0,-0.016514063039624383,0.0,-0.01650805508746702,0.0,4.076182578732336,0.0
0.001,0.9,-8.304063270839437,0.0,-0.07624551990459631,0.0,-0.023602560832404623,0.0,-0.023597330326590695,0.0,9.873593762558066,0.0
0.001,0.95,-16.675848278987516,0.0,0.0541610068936285,0.0,0.011407817407111054,0.0,0.011402854069868733,0.0,20.385781735806745,0.0
0.001,0.98,-55.544553229127146,0.0,-0.15511376894831888,0.0,-0.017478702216618937,0.0,-0.01747262987162506,0.0,64.46350329569998,0.0
0.001,1.02,-36.41069897132728,0.0,0.028677951574114922,0.0,0.004178950731497441,0.0,0.004176897205552773,0.0,42.99052900188671,0.0
0.001,1.05,-15.557060954704088,0.0,-0.015069961447765791,0.0,-0.003280397003851821,0.0,-0.003278774036593663,0.0,19.8601897361322,0.0
0.001,1.1,-9.161430200195962,0.0,-0.04907041212288141,0.0,-0.014049236394880578,0.0,-0.014043596057868403,0.0,11.59183512218102,0.0
0.001,1.25,-4.513987563267981,0.0,-0.028147003127806013,0.0,-0.011311506128139625,0.0,-0.011306572322499597,0.0,5.421569164020568,0.0
0.001,1.5,-2.866840040895054,0.0,-0.05728435300465405,0.0,-0.029539864848037552,0.0,-0.029537981508650276,0.0,3.237629316977991,0.0
0.001,2.0,-1.7757399945634291,0.0,-0.09681554204565355,0.0,-0.06568523383186661,0.0,-0.06579447319999362,0.0,1.8572846700673973,0.0
0.001,3.0,-1.3465693945714503,0.0,-0.08552696743775413,0.0,-0.07007321640091713,0.0,-0.07021075954293625,0.0,1.346383630752833,0.0
0.001,5.0,-1.0830989161163465,0.0,-0.062044452376068364,0.0,-0.05683962047936489,0.0,-0.05690318769525843,0.0,1.0978430625003606,0.0
0.001,7.0,-1.1141899069538796,0.0,-0.059536233981655744,0.0,-0.05309268941123065,0.0,-0.05314108722528821,0.0,1.148470803273079,0.0
0.001,10.0,-1.1690638052322582,0.0,-0.06230781690711031,0.0,-0.05406541939751417,0.0,-0.054117532466987896,0.0,1.207552584974441,0.0
0.1,0.5,-1.0031382177196861,0.0,-0.012764232668100433,0.0,-0.010648144188671865,0.0,-0.010643422193432575,0.0,1.238005545316158,0.0
0.1,0.75,-3.3953182249991603,0.0,-0.03545540467441019,0.0,-0.016554629158647922,0.0,-0.01654861755095854,0.0,3.9235571206491353,0.0
0.1,0.9,-7.307197110193725,0.0,-0.07798474865568414,0.0,-0.025859481452878804,0.0,-0.025855194773414,0.0,8.68197947428113,0.0
0.1,0.95,-11.887467522751285,0.0,0.04201873974633679,0.0,0.010610038357438022,0.0,0.010605328964534078,0.0,14.555993975002394,0.0
0.1,0.98,-20.57094282273642,0.0,-0.0485115938086083,0.0,-0.009283331226350947,0.0,-0.00927908824537544,0.0,24.718123059921478,0.0
0.1,1.02,-19.879647311121936,0.0,0.05270288584402923,0.0,0.010391875015574203,0.0,0.01038723865806455,0.0,23.456241282979022,0.0
0.1,1.05,-11.878375089640262,0.0,0.001453071414892328,0.0,0.0003627141564398785,0.0,0.0003625327778473947,0.0,15.369369761566809,0.0
0.1,1.1,-8.164973720304731,0.0,-0.0092497156005564,0.0,-0.0028107594689347217,0.0,-0.002809364835210593,0.0,10.351523363519107,0.0
0.1,1.25,-4.588308120673724,0.0,-0.08176203500276956,0.0,-0.03372904917507221,0.0,-0.03373137311980382,0.0,5.389091460020763,0.0
